URL,レビュー,★の数
https://www.amazon.co.jp/dp/4635450384,"料理はいいのですが料理に使用する固形燃料が全てエスビット製の固形燃料のため本通りにやると固形燃料代がバカにならないしなかなか手に入りにくいのが難だと感じました。
100均で手に入る固形燃料での加熱時間の表記でしたら★5でした。",3.0
https://www.amazon.co.jp/dp/4635450384,固形燃料消えたらかき混ぜて固形燃料足して点火とか、全然自動じゃないし。,1.0
https://www.amazon.co.jp/dp/4635450384,読み物としては面白いが、実際に作ってみるとうまくいかないレシピもあります。本文中のレシピを鵜呑みにしていきなりキャンプで本番は少々リスクが高いかもしれません。,2.0
https://www.amazon.co.jp/dp/4635450384,"トランギアのメスティンとエスビットのポケットストーブだけであっと言う間に、美味しいご飯が炊けることに感動して、レシピ本を購入してみました。
材料さえ揃えておけば、メスティンにぶち込んで、ポケットストーブに乗っけて固形燃料に火をつければ、後はほったらかしで、美味しくて、映える料理の出来上がり！
このレシピ本のメニューを全部クリアすると言う楽しみから逃れられそうにない！",5.0
https://www.amazon.co.jp/dp/4635450384,記事のレシピのうち2つを作ってみました。簡単かつ美味しかったです。,5.0
https://www.amazon.co.jp/dp/4635450384,"メスティンを購入したので、色々な調理をしたいと思い、レシピ本を購入しました。
メスティンは、本当に使い勝手が良く、このレシピ本は、見る、作る、味わう。と何段階も楽しめる良本だと思いました。",5.0
https://www.amazon.co.jp/dp/4635450384,"キャンプに行って手軽にできそうなレシピが多く載っているので、色々と試したいと思いました。
自宅でも、実際に２種類ほど試してみました。(ハンバーグドリアと、サバ水煮缶のお茶漬け) 材料を読んでいて、え〜？と、思いましたが、意外にもすごく美味しくて、これは外で食べたら絶対にもっと上手いだろうなと思いました！",5.0
https://www.amazon.co.jp/dp/4635450384,一目でわかる写真とレシピでメスティンを使うのが楽しくなる内容です。,5.0
https://www.amazon.co.jp/dp/463592498X,"だけど付属品はいまいち使い道が見つからない。
原因は小さいからですけどね。卵一個分くらいしか無いのでイマイチ使い道無い。
本の中身は何人かのソロスタイルについて。
どんな道具をもっているのか？
ソロの楽しみやデメリットは？
といった内容でした。結構参考になりましたがやはりソロテントは高いですね。。5万円以上のテントがほとんどで安くても4万はいきそうですね。
ハンモックスタイルは敷居高いですし。
いつかはバックパックだけでキャンプもしたいですけどね。",5.0
https://www.amazon.co.jp/dp/463592498X,付録目的で購入しましたが本の内容もとてもよかったです。ちなみに本来の本の値段は1300円です。メーカー(ブッシュクラフト)としてはこのフライパンを使ってもらって本来の焚き火フライパンを買ってほしいのだと思いますが、1300円の本の付録でこれだけの物がついていて文句がでるのはどうかと・・・付録のフライパンだけで十分1300円で売れると思います。,5.0
